"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 03 12:32:45 GMT 2022","Fri Jun 03 12:32:55 GMT 2022","10385","","User ","","User ","can search for the item","can search for the item","Verify that user is able to search for item             and searched term is displayed in the title."
"passed","Fri Jun 03 12:32:32 GMT 2022","Fri Jun 03 12:32:48 GMT 2022","15437","","Item","","Item","can be added to the cart","can be added to the cart","Verifies that item can be added to the cart,         title and price in the cart should match title and price of the added item."
"passed","Fri Jun 03 12:32:44 GMT 2022","Fri Jun 03 12:32:45 GMT 2022","318","","User ","","User ","can be opened","can be opened","User is able to open the site"
"broken","Fri Jun 03 12:32:30 GMT 2022","Fri Jun 03 12:32:41 GMT 2022","10704","","Item","","Item","can be added to the cart","can be added to the cart","Verifies that item can be added to the cart,         title and price in the cart should match title and price of the added item."
"passed","Fri Jun 03 12:32:52 GMT 2022","Fri Jun 03 12:32:58 GMT 2022","5885","","User ","","User ","can be opened","can be opened","User is able to open the site"
"passed","Fri Jun 03 12:32:58 GMT 2022","Fri Jun 03 12:33:03 GMT 2022","5032","","User ","","User ","can search for the item","can search for the item","Verify that user is able to search for item             and searched term is displayed in the title."
