"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 03 12:06:05 GMT 2022","Fri Jun 03 12:06:08 GMT 2022","3444","","User ","","User ","can be opened","can be opened","User is able to open the site"
"passed","Fri Jun 03 12:05:48 GMT 2022","Fri Jun 03 12:06:06 GMT 2022","18131","","Item","","Item","can be added to the cart","can be added to the cart","Verifies that item can be added to the cart,         title and price in the cart should match title and price of the added item."
"passed","Fri Jun 03 12:06:08 GMT 2022","Fri Jun 03 12:06:15 GMT 2022","7271","","User ","","User ","can search for the item","can search for the item","Verify that user is able to search for item             and searched term is displayed in the title."
