"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 03 13:30:06 GMT 2022","Fri Jun 03 13:30:09 GMT 2022","2452","","User ","","User ","can be opened","can be opened","User is able to open the site"
"passed","Fri Jun 03 13:30:42 GMT 2022","Fri Jun 03 13:30:44 GMT 2022","2478","","User ","","User ","can be opened","can be opened","User is able to open the site"
"passed","Fri Jun 03 13:29:50 GMT 2022","Fri Jun 03 13:30:03 GMT 2022","12679","","Item","","Item","can be added to the cart","can be added to the cart","Verifies that item can be added to the cart,         title and price in the cart should match title and price of the added item."
"passed","Fri Jun 03 13:30:44 GMT 2022","Fri Jun 03 13:30:52 GMT 2022","8006","","User ","","User ","can search for the item","can search for the item","Verify that user is able to search for item             and searched term is displayed in the title."
"passed","Fri Jun 03 13:30:20 GMT 2022","Fri Jun 03 13:30:35 GMT 2022","15157","","Item","","Item","can be added to the cart","can be added to the cart","Verifies that item can be added to the cart,         title and price in the cart should match title and price of the added item."
"passed","Fri Jun 03 13:30:09 GMT 2022","Fri Jun 03 13:30:14 GMT 2022","5565","","User ","","User ","can search for the item","can search for the item","Verify that user is able to search for item             and searched term is displayed in the title."
