"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 03 12:26:56 GMT 2022","Fri Jun 03 12:26:57 GMT 2022","385","","User ","","User ","can be opened","can be opened","User is able to open the site"
"passed","Fri Jun 03 12:26:45 GMT 2022","Fri Jun 03 12:26:59 GMT 2022","14175","","Item","","Item","can be added to the cart","can be added to the cart","Verifies that item can be added to the cart,         title and price in the cart should match title and price of the added item."
"passed","Fri Jun 03 12:27:06 GMT 2022","Fri Jun 03 12:27:10 GMT 2022","4418","","User ","","User ","can search for the item","can search for the item","Verify that user is able to search for item             and searched term is displayed in the title."
"broken","Fri Jun 03 12:26:42 GMT 2022","Fri Jun 03 12:26:53 GMT 2022","10776","","Item","","Item","can be added to the cart","can be added to the cart","Verifies that item can be added to the cart,         title and price in the cart should match title and price of the added item."
"passed","Fri Jun 03 12:27:03 GMT 2022","Fri Jun 03 12:27:06 GMT 2022","2495","","User ","","User ","can be opened","can be opened","User is able to open the site"
"broken","Fri Jun 03 12:26:57 GMT 2022","Fri Jun 03 12:27:07 GMT 2022","10366","","User ","","User ","can search for the item","can search for the item","Verify that user is able to search for item             and searched term is displayed in the title."
