"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 03 12:17:48 GMT 2022","Fri Jun 03 12:17:54 GMT 2022","5571","","User ","","User ","can search for the item","can search for the item","Verify that user is able to search for item             and searched term is displayed in the title."
"passed","Fri Jun 03 12:17:45 GMT 2022","Fri Jun 03 12:17:48 GMT 2022","2862","","User ","","User ","can be opened","can be opened","User is able to open the site"
"passed","Fri Jun 03 12:17:30 GMT 2022","Fri Jun 03 12:17:47 GMT 2022","17106","","Item","","Item","can be added to the cart","can be added to the cart","Verifies that item can be added to the cart,         title and price in the cart should match title and price of the added item."
